project,dataset,source,task,algorithm,feature_variant,optimization,primary_metric,primary_value,rank_score,secondary_metric,secondary_value,tertiary_metric,tertiary_value,fit_seconds,notes
spiking_edge_anomaly,NAB-inspired streaming anomaly windows,synthetic_nab_fallback,anomaly_detection,dense_autoencoder,raw_stream_windows,adam_reconstruction,average_precision,1.0,1.0,balanced_accuracy,0.9835164835164836,model_kb,54.921875,0.49628234599367715,macro_f1=0.964
spiking_edge_anomaly,NAB-inspired streaming anomaly windows,synthetic_nab_fallback,anomaly_detection,conv_autoencoder,raw_stream_windows,adam_conv_reconstruction,average_precision,1.0,1.0,balanced_accuracy,0.9743589743589743,model_kb,4.22265625,1.2878713490063092,macro_f1=0.945
spiking_edge_anomaly,NAB-inspired streaming anomaly windows,synthetic_nab_fallback,anomaly_detection,spike_encoded_autoencoder,binary_spike_rate_encoding,adam_spike_reconstruction,average_precision,1.0,1.0,balanced_accuracy,0.9853479853479854,model_kb,53.9140625,0.5318962949968409,macro_f1=0.968
physics_informed_pinn,Burgers' Equation,finite_difference_burgers_solver,pde_regression,supervised_mlp,space_time_coordinates,adam_supervised,rmse,0.11051928593798409,-0.11051928593798409,physics_residual,0.5529721975326538,r2,0.9548285007476807,1.3786791049933527,mae=0.0832
physics_informed_pinn,Burgers' Equation,finite_difference_burgers_solver,pde_regression,pinn_mlp,space_time_coordinates,adam_data_plus_physics,rmse,0.27522601625741894,-0.27522601625741894,physics_residual,0.12672823667526245,r2,0.7198651432991028,3.157186996002565,mae=0.2172
physics_informed_pinn,Burgers' Equation,finite_difference_burgers_solver,pde_regression,pinn_fourier,fourier_space_time_features,adam_data_plus_physics,rmse,0.15265046324445655,-0.15265046324445655,physics_residual,0.16394340991973877,r2,0.9138243794441223,3.8450179750070674,mae=0.1230
audio_autoencoder,NASA Bearing-inspired vibration benchmark,synthetic_nasa_bearing_fallback,anomaly_detection,dense_autoencoder,raw_vibration_windows,adam_dense_latent,average_precision,0.9999999999999999,0.9999999999999999,balanced_accuracy,0.97,model_kb,137.5625,0.8254055900033563,macro_f1=0.931
audio_autoencoder,NASA Bearing-inspired vibration benchmark,synthetic_nasa_bearing_fallback,anomaly_detection,wide_dense_autoencoder,raw_vibration_windows,adam_dense_wider_latent,average_precision,0.9999999999999999,0.9999999999999999,balanced_accuracy,0.9766666666666667,model_kb,145.625,0.6060774049983593,macro_f1=0.945
audio_autoencoder,NASA Bearing-inspired vibration benchmark,synthetic_nasa_bearing_fallback,anomaly_detection,conv_autoencoder,raw_vibration_windows,adam_conv_reconstruction,average_precision,0.9999999999999999,0.9999999999999999,balanced_accuracy,0.9716666666666667,model_kb,4.7890625,2.3026625069906004,macro_f1=0.935
audio_autoencoder,NASA Bearing-inspired vibration benchmark,synthetic_nasa_bearing_fallback,anomaly_detection,noisy_input_autoencoder,noisy_healthy_windows,adam_noise_regularized,average_precision,0.9999999999999999,0.9999999999999999,balanced_accuracy,1.0,model_kb,137.5625,0.7672919540054863,macro_f1=1.000
weight_quantization_theory,CIFAR-10 / digits fallback,sklearn_digits_fallback,multiclass_classification,cnn_fp32,image_tensor,adam_conv_fp32,accuracy,0.32,0.32,model_kb,20.0390625,latency_ms,2.3139894496125635,1.6784668940090341,balanced_accuracy=0.316
